file_path,class
conditionally_edible/Cetraria islandica/4155medium.jpeg,conditionally_edible
conditionally_edible/Clitocybe nebularis/6113medium.jpeg,conditionally_edible
conditionally_edible/Mushrooms/Boletus/0714_9pWlM-KIXcY.jpg,conditionally_edible
conditionally_edible/Fomitopsis pinicola/19286medium.jpg,conditionally_edible
conditionally_edible/Sarcomyxa serotina/26103medium.jpg,conditionally_edible
conditionally_edible/Mushrooms/Lactarius/1181_RbvQcQIVHQI.jpg,conditionally_edible
conditionally_edible/Physcia adscendens/23267medium.jpeg,conditionally_edible
conditionally_edible/Hypogymnia physodes/26426medium.jpeg,conditionally_edible
conditionally_edible/Fomitopsis pinicola/20602medium.jpg,conditionally_edible
conditionally_edible/Trametes versicolor/29434medium.jpeg,conditionally_edible
conditionally_edible/silverleaf_fungus/3.png,conditionally_edible
conditionally_edible/Mushrooms/Boletus/1076_5t4ySNJ2MVk.jpg,conditionally_edible
conditionally_edible/Leccinum scabrum/32589medium.jpeg,conditionally_edible
conditionally_edible/Fomitopsis betulina/17932medium.jpeg,conditionally_edible
conditionally_edible/Amanita_muscaria/Amanita_muscaria15.png,conditionally_edible
conditionally_edible/Ganoderma applanatum/24525medium.jpeg,conditionally_edible
conditionally_edible/Leccinum scabrum/33214medium.jpeg,conditionally_edible
conditionally_edible/Hypogymnia physodes/27297medium.jpg,conditionally_edible
conditionally_edible/Cortinarius/441_FZoHpOe6uOM.jpg,conditionally_edible
conditionally_edible/Laetiporus sulphureus/29779medium.jpg,conditionally_edible
conditionally_edible/Suillus granulatus/27660medium.jpg,conditionally_edible
conditionally_edible/Macrolepiota procera/17997medium.jpeg,conditionally_edible
conditionally_edible/Fomitopsis pinicola/22735medium.jpeg,conditionally_edible
conditionally_edible/Leccinum aurantiacum/15618medium.jpg,conditionally_edible
conditionally_edible/Fomes fomentarius/13604medium.jpeg,conditionally_edible
conditionally_edible/Hypogymnia physodes/27404medium.jpeg,conditionally_edible
conditionally_edible/Cortinarius/810_SWs37_5OEjY.jpg,conditionally_edible
conditionally_edible/Fomitopsis pinicola/23834medium.jpeg,conditionally_edible
conditionally_edible/Mushrooms/Lactarius/281_oPTh_4tx7mY.jpg,conditionally_edible
conditionally_edible/Laetiporus sulphureus/30696medium.jpeg,conditionally_edible
conditionally_edible/Parmelia sulcata/36543medium.jpg,conditionally_edible
conditionally_edible/Hypogymnia physodes/27022medium.jpg,conditionally_edible
conditionally_edible/Trichaptum biforme/30894medium.jpg,conditionally_edible
conditionally_edible/Suillus grevillei/28235medium.jpg,conditionally_edible
conditionally_edible/Parmelia sulcata/34889medium.jpeg,conditionally_edible
conditionally_edible/Lobaria pulmonaria/17046medium.jpeg,conditionally_edible
conditionally_edible/Trametes ochracea/29034medium.jpeg,conditionally_edible
conditionally_edible/Fomes fomentarius/14101medium.jpeg,conditionally_edible
conditionally_edible/Suillus luteus/28553medium.jpeg,conditionally_edible
conditionally_edible/Hygrophoropsis aurantiaca/12244medium.jpeg,conditionally_edible
conditionally_edible/Boletus edulis/7549medium.jpg,conditionally_edible
conditionally_edible/Evernia prunastri/11689medium.jpeg,conditionally_edible
conditionally_edible/Mushrooms/Lactarius/302_VOU4RuCelFg.jpg,conditionally_edible
conditionally_edible/Trametes ochracea/28940medium.jpg,conditionally_edible
conditionally_edible/Boletus reticulatus/2015medium.jpg,conditionally_edible
conditionally_edible/Leccinum scabrum/33175medium.jpg,conditionally_edible
conditionally_edible/Artomyces pyxidatus/5857medium.jpeg,conditionally_edible
conditionally_edible/Hypogymnia physodes/26466medium.jpg,conditionally_edible
conditionally_edible/Fomes fomentarius/12429medium.jpeg,conditionally_edible
conditionally_edible/Fomitopsis betulina/17359medium.jpg,conditionally_edible
conditionally_edible/Mushrooms/Lactarius/0875_MRCA5GYYl98.jpg,conditionally_edible
conditionally_edible/Inonotus obliquus/29179medium.jpeg,conditionally_edible
conditionally_edible/Fomitopsis pinicola/23558medium.jpeg,conditionally_edible
conditionally_edible/Calocera viscosa/2483medium.jpeg,conditionally_edible
conditionally_edible/Graphis scripta/10642medium.jpeg,conditionally_edible
conditionally_edible/Vulpicida pinastri/33229medium.jpg,conditionally_edible
conditionally_edible/Calocera viscosa/2506medium.jpeg,conditionally_edible
conditionally_edible/Sarcosoma globosum/26709medium.jpeg,conditionally_edible
conditionally_edible/Fomitopsis betulina/18250medium.jpeg,conditionally_edible
conditionally_edible/Laetiporus sulphureus/29451medium.jpeg,conditionally_edible
conditionally_edible/Laetiporus sulphureus/31543medium.jpg,conditionally_edible
conditionally_edible/Mushrooms/Russula/271_oDK4iTWdBTA.jpg,conditionally_edible
conditionally_edible/Vulpicida pinastri/33036medium.jpeg,conditionally_edible
conditionally_edible/Rhytisma acerinum/25692medium.jpeg,conditionally_edible
conditionally_edible/Sarcoscypha austriaca/26475medium.jpeg,conditionally_edible
conditionally_edible/Phaeophyscia orbicularis/20882medium.jpeg,conditionally_edible
conditionally_edible/Fomes fomentarius/16238medium.jpeg,conditionally_edible
conditionally_edible/Mushrooms/Entoloma/165_dRkqm0KR5E8.jpg,conditionally_edible
conditionally_edible/Mushrooms/Russula/552_mEWMk7XkwB0.jpg,conditionally_edible
conditionally_edible/Suillus granulatus/27940medium.jpg,conditionally_edible
conditionally_edible/Mushrooms/Boletus/0489_2pfGcSJLMWo.jpg,conditionally_edible
conditionally_edible/Mushrooms/Boletus/1059_Hx5IeY1yom4.jpg,conditionally_edible
conditionally_edible/Suillus luteus/28354medium.jpeg,conditionally_edible
conditionally_edible/Inonotus obliquus/28887medium.jpeg,conditionally_edible
conditionally_edible/Chlorociboria aeruginascens/4734medium.jpg,conditionally_edible
conditionally_edible/Ganoderma applanatum/24773medium.jpeg,conditionally_edible
conditionally_edible/Cantharellus cibarius/3277medium.jpg,conditionally_edible
conditionally_edible/Fomes fomentarius/12337medium.jpeg,conditionally_edible
conditionally_edible/Cladonia rangiferina/5478medium.jpeg,conditionally_edible
conditionally_edible/Macrolepiota procera/17525medium.jpg,conditionally_edible
conditionally_edible/Inonotus obliquus/28943medium.jpeg,conditionally_edible
conditionally_edible/Leccinum scabrum/31718medium.jpeg,conditionally_edible
conditionally_edible/Cortinarius/334_y-nUmzQ2qew.jpg,conditionally_edible
conditionally_edible/Mushrooms/Boletus/1034_0ENazjlNLdw.jpg,conditionally_edible
conditionally_edible/Fomitopsis pinicola/22366medium.jpg,conditionally_edible
conditionally_edible/Mushrooms/Russula/032_IR8hvwC6u_A.jpg,conditionally_edible
conditionally_edible/Mushrooms/Lactarius/034_VOZuBo7VuLU.jpg,conditionally_edible
conditionally_edible/Fomes fomentarius/14203medium.jpeg,conditionally_edible
conditionally_edible/Parmelia sulcata/35956medium.jpeg,conditionally_edible
conditionally_edible/Fomes fomentarius/12910medium.jpeg,conditionally_edible
conditionally_edible/Suillus/177_UGlls-bt0u8.jpg,conditionally_edible
conditionally_edible/Tremella mesenterica/30195medium.jpg,conditionally_edible
conditionally_edible/Verpa bohemica/31804medium.jpg,conditionally_edible
conditionally_edible/Hypogymnia physodes/27601medium.jpeg,conditionally_edible
conditionally_edible/Leccinum scabrum/32199medium.jpeg,conditionally_edible
