file_path,depth,file_name,file_ext,width,height,aspect_ratio,megapixels,orientation,class,species,phash,path_depth,species_fixed,species_fixed_final,species_norm,species_fixed_norm,augmented_width,augmented_height
Classes/conditionally_edible/Hypogymnia physodes/28340medium.jpg,3,28340medium,jpg,375,500,0.75,0.1875,portrait,conditionally_edible,Hypogymnia physodes,c6cf3b32d25ec882,4,Hypogymnia physodes,hypogymnia_physodes,hypogymnia_physodes,hypogymnia_physodes,256,256
Classes/conditionally_edible/Graphis scripta/10525medium.jpeg,3,10525medium,jpeg,500,333,1.5015015015015014,0.1665,landscape,conditionally_edible,Graphis scripta,a9a55e077a107675,4,Graphis scripta,graphis_scripta,graphis_scripta,graphis_scripta,256,256
Classes/conditionally_edible/Imleria badia/13362medium.jpg,3,13362medium,jpg,375,500,0.75,0.1875,portrait,conditionally_edible,Imleria badia,db1130c9035e677d,4,Imleria badia,imleria_badia,imleria_badia,imleria_badia,256,256
Classes/conditionally_edible/Fomitopsis pinicola/20128medium.jpeg,3,20128medium,jpeg,500,374,1.3368983957219251,0.187,landscape,conditionally_edible,Fomitopsis pinicola,b07770b5e00fc333,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/Phellinus tremulae/21957medium.jpg,3,21957medium,jpg,500,332,1.5060240963855422,0.166,landscape,conditionally_edible,Phellinus tremulae,ab50acdd32aed324,4,Phellinus tremulae,phellinus_tremulae,phellinus_tremulae,phellinus_tremulae,256,256
Classes/conditionally_edible/Suillus grevillei/28097medium.jpeg,3,28097medium,jpeg,500,500,1.0,0.25,square,conditionally_edible,Suillus grevillei,c2873987963649dd,4,Suillus grevillei,suillus_grevillei,suillus_grevillei,suillus_grevillei,256,256
Classes/conditionally_edible/Fomitopsis pinicola/22184medium.jpeg,3,22184medium,jpeg,340,500,0.68,0.17,portrait,conditionally_edible,Fomitopsis pinicola,bc85323e9f882979,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/Hypogymnia physodes/26700medium.jpeg,3,26700medium,jpeg,500,429,1.1655011655011656,0.2145,landscape,conditionally_edible,Hypogymnia physodes,bf94c54ec2890df2,4,Hypogymnia physodes,hypogymnia_physodes,hypogymnia_physodes,hypogymnia_physodes,256,256
Classes/conditionally_edible/Lobaria pulmonaria/17113medium.jpeg,3,17113medium,jpeg,500,334,1.4970059880239521,0.167,landscape,conditionally_edible,Lobaria pulmonaria,df7f24dd8110813e,4,Lobaria pulmonaria,lobaria_pulmonaria,lobaria_pulmonaria,lobaria_pulmonaria,256,256
Classes/conditionally_edible/Fomes fomentarius/14466medium.jpeg,3,14466medium,jpeg,500,341,1.466275659824047,0.1705,landscape,conditionally_edible,Fomes fomentarius,c57d1dca6099ee90,4,Fomes fomentarius,fomes_fomentarius,fomes_fomentarius,fomes_fomentarius,256,256
